OpenTime,DayHour,DayWeek,Bar1OC,Bar1HL,Bar1Shape,Oscilator,ShortTrend,LongTrend,Volatility,SupportUp,SupportDown,Profit
2016.01.26 12:00:00,13,2,1.10000,12.00000,3.55000,8.90188,-41.75933,2.73622,0.00142,40.10000,3.50000,True
2016.01.26 13:00:00,14,2,0.90000,17.30000,7.90000,13.85928,-41.41867,2.54689,0.00147,32.00000,6.30000,True
2016.01.26 14:00:00,15,2,10.10000,18.10000,-0.10000,29.01745,-40.70200,2.40756,0.00150,2.10000,3.40000,True
2016.01.26 15:00:00,16,2,12.50000,19.70000,-2.50000,60.95133,-39.67933,2.22622,0.00157,24.50000,8.00000,True
2016.01.26 16:00:00,17,2,-3.70000,19.30000,0.40000,78.57143,-38.83067,2.09844,0.00163,17.50000,15.40000,True
2016.01.26 17:00:00,18,2,-1.20000,13.50000,-0.75000,73.93035,-38.10267,1.94867,0.00166,6.60000,14.60000,True
2016.01.26 18:00:00,19,2,-3.70000,10.20000,2.55000,59.65418,-37.19467,1.77111,0.00164,7.40000,17.10000,True
2016.01.26 19:00:00,20,2,12.70000,14.80000,0.05000,64.09990,-36.12533,1.65022,0.00163,3.30000,16.60000,True
2016.01.26 20:00:00,21,2,6.80000,10.00000,0.40000,72.87544,-34.62467,1.53978,0.00151,-4.40000,29.10000,True
2016.01.26 21:00:00,22,2,10.40000,19.00000,-3.30000,91.31455,-33.01067,1.65400,0.00148,-13.90000,29.60000,True
2016.01.26 22:00:00,23,2,-4.10000,10.10000,-2.50000,91.04972,-31.50467,1.67133,0.00141,0.50000,38.00000,True
2016.01.26 23:00:00,0,3,-3.80000,10.00000,2.40000,84.33367,-29.96667,1.62356,0.00136,-14.20000,38.90000,True
2016.01.27 00:00:00,1,3,-7.90000,13.00000,2.05000,62.30678,-28.46067,1.50200,0.00134,4.80000,31.10000,True
2016.01.27 01:00:00,2,3,2.60000,11.30000,1.35000,42.95580,-27.04200,1.44133,0.00133,9.00000,28.60000,True
2016.01.27 02:00:00,3,3,7.60000,8.90000,0.65000,35.09934,-25.45800,1.37022,0.00127,5.90000,5.50000,True
2016.01.27 03:00:00,4,3,4.20000,8.60000,0.10000,58.94910,-24.03400,1.35733,0.00120,0.80000,10.90000,True
2016.01.27 04:00:00,5,3,-7.80000,9.60000,-0.90000,66.05657,-22.83267,1.29200,0.00113,2.30000,7.60000,True
2016.01.27 05:00:00,6,3,-0.20000,10.10000,-0.35000,60.53963,-21.68000,1.21511,0.00107,5.40000,4.00000,True
2016.01.27 06:00:00,7,3,-4.50000,9.00000,1.35000,36.14679,-20.60533,1.18778,0.00103,6.40000,0.10000,True
2016.01.27 07:00:00,8,3,14.40000,26.50000,5.95000,41.28000,-19.43467,1.21933,0.00115,-12.00000,1.00000,True
2016.01.27 08:00:00,9,3,-3.30000,20.20000,-5.65000,42.26519,-18.03000,1.13311,0.00119,9.20000,-1.90000,True
2016.01.27 09:00:00,10,3,5.70000,9.80000,1.55000,57.24218,-16.74933,1.11222,0.00119,6.00000,13.60000,True
2016.01.27 10:00:00,11,3,-3.00000,12.80000,1.60000,57.48299,-15.77067,1.08489,0.00114,3.10000,13.50000,True
2016.01.27 11:00:00,12,3,5.60000,7.90000,-0.85000,66.78005,-14.52533,1.10778,0.00113,3.70000,14.70000,True
2016.01.27 12:00:00,13,3,13.40000,26.20000,-1.70000,75.37841,-13.15933,1.26200,0.00124,-10.90000,14.10000,True
2016.01.27 13:00:00,14,3,6.60000,26.70000,6.65000,75.30329,-11.81400,1.52711,0.00134,-29.80000,32.50000,False
2016.01.27 14:00:00,15,3,-7.60000,22.20000,-3.10000,65.37585,-10.44200,1.64644,0.00142,12.40000,24.60000,True
2016.01.27 15:00:00,16,3,-18.30000,23.70000,-2.70000,40.12922,-9.70267,1.77156,0.00152,24.20000,11.30000,True
2016.01.27 16:00:00,17,3,-1.90000,12.80000,2.45000,21.34276,-9.09533,1.86533,0.00155,34.80000,0.30000,True
2016.01.27 17:00:00,18,3,3.90000,11.20000,-1.55000,12.22527,-8.40467,2.06222,0.00156,38.60000,9.40000,True
2016.01.27 18:00:00,19,3,-1.40000,12.60000,3.80000,14.87787,-7.58933,2.18067,0.00158,31.30000,5.90000,True
2016.01.27 19:00:00,20,3,35.40000,52.30000,-1.45000,44.51613,-6.35600,2.48222,0.00189,-0.30000,7.20000,False
2016.01.27 20:00:00,21,3,-13.00000,25.20000,5.20000,58.24778,-5.35133,2.55978,0.00188,-4.40000,31.20000,True
2016.01.27 21:00:00,22,3,1.10000,12.20000,-1.15000,66.98970,-4.18800,2.61444,0.00183,18.80000,25.40000,True
2016.01.27 22:00:00,23,3,9.80000,14.10000,-0.35000,64.00709,-3.20400,2.67356,0.00186,11.60000,30.70000,False
2016.01.27 23:00:00,0,4,-0.90000,7.70000,-1.00000,69.85816,-1.96667,2.55689,0.00182,11.10000,37.60000,False
2016.01.28 00:00:00,1,4,-6.20000,13.00000,1.80000,66.34214,-0.85000,2.44467,0.00186,9.20000,34.20000,True
2016.01.28 01:00:00,2,4,-9.40000,10.60000,-0.30000,48.90110,0.08067,2.28400,0.00175,11.10000,25.50000,True
2016.01.28 02:00:00,3,4,3.60000,10.60000,0.00000,24.34211,1.11933,2.22711,0.00163,12.60000,24.00000,True
2016.01.28 03:00:00,4,4,3.70000,7.70000,0.00000,27.85924,2.09400,2.20689,0.00153,10.30000,5.20000,True
2016.01.28 04:00:00,5,4,-10.70000,12.50000,0.00000,26.88478,3.00000,2.06822,0.00145,1.10000,23.30000,True
2016.01.28 05:00:00,6,4,0.20000,4.90000,-1.55000,24.92163,3.95067,1.90956,0.00139,11.80000,20.20000,True
2016.01.28 06:00:00,7,4,-10.90000,13.00000,0.55000,8.54037,4.71267,1.61267,0.00140,10.80000,13.10000,True
2016.01.28 07:00:00,8,4,1.90000,9.40000,-0.45000,15.80502,5.62800,1.31911,0.00138,17.80000,9.70000,True
2016.01.28 08:00:00,9,4,26.50000,32.60000,0.65000,45.02857,6.75533,1.08067,0.00124,-9.30000,3.90000,True
2016.01.28 09:00:00,10,4,5.60000,25.20000,8.50000,64.26202,7.85200,0.73178,0.00124,-29.70000,31.70000,True
2016.01.28 10:00:00,11,4,-2.30000,19.60000,-3.65000,71.65669,9.39067,0.30689,0.00129,13.30000,24.00000,True
2016.01.28 11:00:00,12,4,9.90000,15.10000,1.60000,70.88459,11.17133,-0.02356,0.00130,6.60000,35.20000,True
2016.01.28 12:00:00,13,4,-11.40000,18.70000,0.95000,67.80576,13.04600,-0.43600,0.00138,6.30000,31.90000,True
2016.01.28 13:00:00,14,4,14.10000,42.00000,1.05000,68.33443,15.07533,-0.71333,0.00159,-7.00000,21.90000,True
2016.01.28 14:00:00,15,4,3.60000,22.50000,-4.85000,64.67153,17.28733,-1.10489,0.00167,6.50000,13.00000,True
2016.01.28 15:00:00,16,4,17.10000,26.80000,-0.35000,77.58242,19.44933,-1.18378,0.00179,-17.50000,25.70000,False
2016.01.28 16:00:00,17,4,12.60000,20.10000,0.35000,87.62563,21.59267,-1.19933,0.00188,-29.70000,44.60000,False
2016.01.28 17:00:00,18,4,-7.40000,12.40000,2.50000,88.52459,23.27867,-1.16689,0.00188,-30.80000,53.40000,False
2016.01.28 18:00:00,19,4,18.60000,24.10000,0.85000,89.61240,25.32467,-1.09467,0.00201,-41.00000,51.90000,False
2016.01.28 19:00:00,20,4,-7.30000,10.90000,-0.70000,84.98046,27.32600,-1.04911,0.00200,2.50000,62.60000,False
2016.01.28 20:00:00,21,4,-15.50000,16.90000,-0.30000,71.66551,29.13667,-0.99067,0.00205,10.60000,48.50000,False
2016.01.28 21:00:00,22,4,-2.50000,8.00000,1.15000,41.05546,30.59800,-0.86889,0.00188,22.10000,45.90000,False
2016.01.28 22:00:00,23,4,-0.60000,4.60000,0.80000,8.33333,31.96467,-0.79222,0.00173,26.30000,45.10000,False
2016.01.28 23:00:00,0,5,-2.70000,9.20000,0.55000,5.87607,33.19133,-0.79289,0.00165,25.90000,40.90000,False
2016.01.29 00:00:00,1,5,-5.70000,8.80000,0.55000,5.33188,34.32133,-0.73311,0.00161,30.20000,37.00000,False
2016.01.29 01:00:00,2,5,7.10000,11.90000,1.10000,15.47315,35.53200,-0.49756,0.00156,27.40000,36.70000,False
